CATS2D_01_DN:(Dragon7),logd_pH_10.0,averagemicrospeciescharge_Charge_pH_10.0,R2s:(alvaDesc),ATSC1e:(alvaDesc),TPSA:(CDK23),SPP:(alvaDesc),SpPosA_B(e):(alvaDesc),Mor26m:(alvaDesc),GATS3e:(alvaDesc),XLogP:(CDK23),DISPe:(alvaDesc),FPSA-3:(CDK23),RTs:(alvaDesc),DLS_06:(Dragon7),TDB03e:(Dragon7),LDI:(alvaDesc),Mor10e:(alvaDesc),SHED_DN:(alvaDesc),MATS1e:(Dragon7),apKa1,RHSA:(CDK23),tpsaEfficiency:(CDK23),MAXDN:(alvaDesc),TDB04s:(alvaDesc),Hy:(Dragon7)
2,-8.77,-2.53,10.61,0.9735,475.3,0.8773,1.414,-0.761,1.047,-5.33,0.2842,0.06911,174,0.33,3.467,0.3213,1.354,7.494,-0.362,1.71,0.4193,0.5158,6.342,24.86,5.05
0,-1.93,-1.36,7.335,0.1005,126.7,0.6158,1.446,0.0097,0.936,-0.096,0.08469,0.06707,63.12,1,3.501,0.3369,0.2221,0,-0.335,8.52,0.5483,0.5156,1.859,27.14,0.935
0,-3.21,-0.92,7.109,0.2968,252.6,0.6713,1.41,-0.1606,0.9234,-1.605,0.1345,0.07997,99.14,1,3.473,0.287,0.7408,0,-0.278,8.93,0.4486,0.4819,2.573,18.69,2.193
0,-1.62,-0.8,4.553,0.1166,165.1,0.7969,1.357,-0.04097,0.7078,-0.514,0.08064,0.07292,64.19,1,3.237,0.212,-0.4181,0,-0.22,9.4,0.54,0.4352,1.787,17.88,1.555
1,-2.64,-0.38,6.565,0.05427,121.4,0.7853,1.324,-0.09152,0.8941,-0.31,0.2887,0.05892,52.79,1,2.851,0.228,0.1343,2,-0.167,4.65,0.6163,0.5408,2.404,10.54,2.001
1,-4.6,-1,9.659,0.1419,181.6,0.8682,1.455,-0.1127,0.8089,-1.416,0.1835,0.07692,68.91,1,3.953,0.5816,0.09771,2,-0.528,2.49,0.2048,0.9031,3.269,23.01,2.646
1,-3.04,-1.52,11.94,0.3956,223.7,0.8229,1.415,-0.291,1.058,-1.975,0.3199,0.04815,104.5,1,3.433,0.2922,0.1772,2,-0.278,1.86,0.532,0.4085,4.835,17.62,0.607
2,-7.8,-2,9.758,0.2104,211.5,0.788,1.421,-0.256,1.361,-0.965,0.2023,0.06372,109.9,1,3.307,0.3117,-0.6361,3,-0.222,3.68,0.3587,0.5852,2.905,19.74,1.749
1,-3.41,0.25,5.973,0.05198,117.7,0.8012,1.31,-0.1694,0.6479,-2.511,0.3394,0.04853,65.81,1,2.852,0.1852,-0.4128,2,-0.091,2.41,0.7258,0.3347,2.565,7.07,1.463
2,-10.24,-2.43,10.77,1.082,541.4,0.8773,1.427,-0.5021,1.031,-5.925,0.1543,0.08033,178,0.33,3.55,0.3538,1.704,8.481,-0.427,1.3,0.3674,0.5736,6.401,24.93,7.692
2,-8.43,-2,10.35,0.2259,222.7,0.8085,1.421,-0.2625,1.265,-1.265,0.1586,0.05685,114.9,1,3.378,0.3602,-0.06397,3.78,-0.225,3.41,0.3845,0.5924,3.021,19.85,1.717
1,-4.59,-0.87,7.779,0.1358,169.8,0.8013,1.36,-0.1851,0.8232,-3.598,0.1682,0.07516,73.72,1,3.069,0.3127,0.0633,3,-0.28,2.22,0.4294,0.7018,2.737,17.46,3.268
0,-1.9,0,6.234,0.1942,166,0.7446,1.384,-0.1079,1.083,-1.592,0.124,0.06992,82.43,1,3.293,0.2722,0.3516,0,-0.224,13.89,0.607,0.4773,2.198,17.72,2.32
2,-6.29,-2.52,12.86,0.464,297.7,0.8607,1.416,-0.3789,1.067,-2.993,0.346,0.06214,119.8,0.83,3.41,0.3092,0.7686,2.828,-0.323,1.23,0.4397,0.4826,5.473,17.89,2.156
